kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt
youtube#comment,3403605,23845,31993,2874725,my 5 year old brother said dolphin 🤣🤣,,0,2025-04-03 13:49:20+00:00,2025-04-03 13:49:20+00:00
youtube#comment,3957372,32163,88966,757766,You look very beautiful and cute ❤,,0,2024-07-17 08:51:19+00:00,2024-07-17 08:51:19+00:00
youtube#comment,1272592,18073,69091,858228,American 🇺🇲,,0,2023-01-29 05:01:06+00:00,2023-01-29 05:01:06+00:00
youtube#comment,4006296,47781,38945,2179100,MASHA'ALLAH♥♥♥,,0,2022-07-27 22:38:41+00:00,2022-07-27 22:38:41+00:00
youtube#comment,521568,13736,92721,364652,"As a scene kid, YOU KILLED IT😻‼️",,0,2025-05-04 20:28:48+00:00,2025-05-04 20:28:48+00:00
youtube#comment,1506870,19521,86018,3573931,They all are cute but that black / gray is laid,,0,2025-06-08 02:13:06+00:00,2025-06-08 02:13:06+00:00
youtube#comment,4622792,50316,75217,2747889,Scrubbing is a big NO.,,1,2024-04-29 12:09:41+00:00,2024-04-29 12:09:41+00:00
youtube#comment,3243039,45135,21883,1582414,"Ooooo bhai ,,,maro mujhe maro",,0,2021-07-11 20:45:48+00:00,2021-07-11 20:45:48+00:00
youtube#comment,3546894,48953,29310,950619,Nice as Heaven,,0,2023-11-02 02:35:47+00:00,2023-11-02 02:35:47+00:00
youtube#comment,517433,26247,47960,3131,"It looks cute, but why does the hair need to be protected if its just existing? I mean i get while  sleeping, but just out in the air?",,0,2024-02-28 16:13:35+00:00,2024-02-28 16:13:35+00:00
youtube#comment,3514035,14492,18248,2485633,U will never be a woman,,0,2023-06-06 00:27:01+00:00,2023-06-06 00:27:01+00:00
youtube#comment,507190,14593,30549,839647,But vhen vill he vear vigs,2021275,2526,2025-06-19 08:18:04+00:00,2025-06-19 08:18:04+00:00
youtube#comment,3160745,29048,10902,2328750,“OwWAWw juicy I like juIcE ✨”,,0,2023-05-06 15:15:17+00:00,2023-05-06 15:15:17+00:00
